UNITNAME,ARCHIVE_PATH,ID
b'DES0935+2543',b'DEC/multiepoch/delve/r5918/DES0935+2543/p01',21655114
b'DES0935-1041',b'DEC/multiepoch/delve/r5918/DES0935-1041/p01',21655120
b'DES0936+0001',b'DEC/multiepoch/delve/r5918/DES0936+0001/p01',21655125
b'DES0936+1417',b'DEC/multiepoch/delve/r5918/DES0936+1417/p01',21655134
b'DES0937+2126',b'DEC/multiepoch/delve/r5918/DES0937+2126/p01',21655163
b'DES0937+2708',b'DEC/multiepoch/delve/r5918/DES0937+2708/p01',21655166
b'DES0937-1958',b'DEC/multiepoch/delve/r5918/DES0937-1958/p01',21655176
b'DES0801+1500',b'DEC/multiepoch/delve/r5918/DES0801+1500/p01',21650470
b'DES0811+1751',b'DEC/multiepoch/delve/r5918/DES0811+1751/p01',21650940
b'DES0819+0418',b'DEC/multiepoch/delve/r5918/DES0819+0418/p02',21652810
b'DES0837+0500',b'DEC/multiepoch/delve/r5918/DES0837+0500/p01',21653314
b'DES0847+2251',b'DEC/multiepoch/delve/r5918/DES0847+2251/p01',21653582
b'DES0849+2708',b'DEC/multiepoch/delve/r5918/DES0849+2708/p02',21653962
b'DES0901+1000',b'DEC/multiepoch/delve/r5918/DES0901+1000/p02',21654230
b'DES0915+0835',b'DEC/multiepoch/delve/r5918/DES0915+0835/p01',21654591
b'DES0915+1917',b'DEC/multiepoch/delve/r5918/DES0915+1917/p01',21654597
b'DES0916-0416',b'DEC/multiepoch/delve/r5918/DES0916-0416/p01',21654632
b'DES0917+0709',b'DEC/multiepoch/delve/r5918/DES0917+0709/p01',21654645
